Titre,Nom,Adresse,Salaire,Contrat,Descposte,date,Metier
DATA SCIENTIST JUNIOR H/F,Valeo,- Saint-Denis (93),,CDI,"Rejoignez les équipes de Valeo spécialisées sur l'activité aftermarket et révolutionnez la relation client au travers de solutions digitales !
Au sein d'une équipe de 5 personnes, vous accompagnerez les enjeux stratégiques de Valeo Service.
Vos Challenges ?
Vous êtes garant de la bonne réalisation des projets qui vous seront confiés
Vous analysez la donnée et construisez des modèles afin d'amener une prise de décision la plus efficace et éduquée possible à travers l'organisation
Vous assurez la veille et la recherche d'algorithmes de modélisation, de frameworks, packages et solutions
Vous participez à la mise sous contrôle et à l'optimisation de l'efficacité des flux de données, technologies et algorithmes utilisés pour les jobs de production de l'équipe
Vous gérez la production des flux de données, modèles et outils et assurez le suivi de leur bon fonctionnement, de leur évolution et de la montée en compétences de leurs utilisateurs
Vous participez à la communication des métriques et résultats aux équipes
Parlons de vous ...

De formation Bac+5, vous êtes issu d'une école d'ingénieur ou université avec une spécialisation orientée vers les mathématiques, les statistiques et/ou machine learning.
Vous justifiez d'une première expérience en analyse et traitement de données en tant que Data scientist, Data analyst ou statisticien.
Vous maîtrisez les langages Python et SQL, ainsi que le logiciel opensource Pandas.
Vous parlez anglais couramment.
Vous avez un esprit intrapreneurial, vous êtes capable de vous adapter à différents interlocuteurs et de travailler en équipe.

De plus ...

Vous avez déjà eu l'occasion de travailler avec la technologie Cloud AWS ou le langage R ? C'est encore mieux !

Rejoignez-nous !

Grâce à sa stratégie fondée sur l'innovation, Valeo est au cœur des trois révolutions qui bouleversent l'automobile: l'électrification du véhicule, l'avènement du véhicule autonome et connecté, et le développement de la mobilité digitale.
Des révolutions que Valeo a su anticiper et qui sont aujourd'hui synonymes de formidables opportunités de carrière, y compris à l'international ! Chez Valeo, l'innovation est portée par la diversité, l'authenticité et l'énergie des ses talents. Vous souhaitez vivre de nouvelles aventures technologiques et humaines ? Rejoignez Valeo et ses 111 600 collaborateurs à travers 33 pays !",19 h,data_analyst
ASS. DATA ANALYST,Actiplay,- Bordeaux (33),,Stage,"Stage de 6 mois – ASAP
A PROPOS DU STAGE
Au sein du Pôle Media, vous intégrerez l’équipe Data & Stratégie qui se charge principalement du pilotage de la performance, du cadrage de projets stratégiques et de l’analyse et l’exploitation des datas du Groupe et de ses filiales.
A ce titre, vous participez à :
La construction des tableaux de bord KPI et surveillez de près la performance de l’ensemble des comptes clients et des opérations
Le report global de l’activité avec une double vision opérationnelle et direction financière
L’analyse de la qualité du contenu de nos bases de données internes afin d’extraire les informations qui vous semblent pertinentes, en faire une analyse approfondie et en ressortir des propositions de plan d’actions / d’améliorations concrètes
Optimiser les process de différents services de l’entreprise
A PROPOS DE VOUS
Etudiant(e) en Contrôle de gestion, vous mettez votre forte sensibilité web au service d’un sens d’analyse aigu. Vous souhaitez vous investir au sein d’une équipe dynamique et avez le goût d’apprendre.
Vos compétences :
Maîtrise d’Excel indispensable
A l’aise avec les chiffres, vous savez identifier et analyser les KPI pour améliorer les performances des campagnes mises en œuvre pour nos clients.
Vos qualités :
Vous avez un esprit de synthèse et une bonne capacité d’analyse
Vous êtes méthodique et rigoureux(se).",30+ j,data_analyst
JUNIOR DATA ANALYST F/H,Sham,- Lyon 8e (69),,CDI,"En tant que JUNIOR DATA ANALYST vous serez rattaché(e) à notre cellule Innovation, avec les missions suivantes:

Extraire, manipuler, analyser et interpréter des ensembles de données complexes concernant l'environnement business de l'entreprise

S’assurer de la qualité des données ;

Analyser des process métiers à travers de la donnée quantitative et qualitative

Participer à des projets d’amélioration, en interaction avec des fonctions métiers

Produire et suivre des indicateurs de performance clés.
Profil recherché Diplôme de niveau Bac + 5 en Ecole d’ingénieur (ou équivalent) vous avez idéalement une première expérience professionnelle / stage dans les secteurs assurance / santé.

En tant que Data Analyst, vous devez être doté(e) de :
Excellentes compétences numériques et analytiques ;

Capacité à produire des représentations graphiques et des visualisations de données claires ;

Capacité d’adaptation et d’appropriation de sujets nouveaux

Connaissance souhaitée en outil de data visualisation (Tableau, QlikView…)

Anglais courant (compétences professionnelles)

Nous attendons de vous les qualités suivantes:
Esprit analytique et esprit de synthèse

Rigueur, autonomie et sens de l’organisation

Excellent relationnel dans un environnement multiculturel et international

Curiosité à investiguer l’univers santé et assurance.
Entreprise Acteur européen spécialiste de l’assurance et de la gestion des risques des structures sanitaires, médico-sociale et des acteurs territoriaux, notre Groupe en pleine croissance est à la recherche d'un(e) Junior Data Analyst au sein de sa cellule Innovation.

Vous rejoindrez ainsi l’actuel Data Lab que le Groupe est en train de renforcer autour d’initiatives et partenariats ouverts sur l’extérieur. Vous prendrez part à des projets d’innovation aussi bien en lien avec les pratiques métiers assurance que l’univers santé en pleine mutuation sur l’utilisation de ses données. Dans un esprit entrepreunarial, les initiatives du Data Lab vous donnerons également l’opportunité de travailler dans un contexte multiculturel en collaboration avec nos équipes internationales.",28 j,data_analyst
PMO/DATA ANALYST / FREELANCE,INFOTEL CONSEIL,- Saint-Herblain (44),400 € par semaine,,"Pour l’un de nos client grand compte, nous recherchons un PMO - Data Analyst.

Votre rôle : Donner un sens aux données à l’aide de ses connaissances analytiques (SQL, analytics/BI, statistiques basiques).

Vous travaillez en collaboration avec le management pour résoudre des questions business en se focalisant sur l’analyse du passé
Vous assurez, pour le compte de la DSI retail, la cellule de pilotage des JH d’un portefeuille de projets Digital .

Des déplacements peuvent être nécessaires sur les sites notamment sur PARIS.

Votre rôle consiste à :
Animation du processus de reporting et construction du Plan informatique Digital
Agrégation des données des tableaux de bord
Mise en place d’indicateur de performance
Restitutions / Présentations à destination notamment de différents comité de direction
Gestion des référentiels fonctionnels (structure du Plan informatique, référentiel des projets communs, règles de gestion, ).
Suite office 2010 et particulièrement powerpoint et Excel (bonne maitrise TCD, graphique, fonctions) . La maitrise de Power BI serait appréciée.

Une attention particulière sera portée sur les qualités rédactionnelle et relationnelle (sens du service, le gout du travail en équipe et le sens critique) ainsi que sur l’approche disign UX des tableaux de bords nécessaires pour ce poste",27 j,data_analyst
DATA SCIENTIST - STAGE,ROUAIX GROUPE,- Toulouse (31),,Stage,"A propos de nous :
Avec un chiffre d’affaires de 30M€ et 250 collaborateurs, Rouaix Groupe est aujourd’hui leader incontesté sur son marché.
Spécialisé en rachat de crédits et mandatés auprès des plus grands établissements financiers nous sommes structurés autour de plusieurs pôles
Online : 55 % du CA
Marketing digital = > Acquisition de prospects online
Front office = > Plateaux Téléphoniques
Back-Office = > Analystes Crédit
Physique : 45 % du CA
Commerciaux Terrains = > en charge d’animer les prescripteurs
Middle-Office
Back-Office
Nous collectons structurellement des millions de données sur :
Ses prospects
Ses clients
Les actions de ses commerciaux
Les actions de ses analystes
Les actions de financeurs
Nous disposons en complément de données financières et RH.
En pleine croissance, nous recrutons actuellement un stagiaire. Votre objectif sera de permettre un pilotage des activités du groupe, en particulier sur la partie internet.
Vos missions :
Catégorisation des prospects internet (leads)
Objectif : catégoriser les prospects internet (leads) en fonction de critères avancés
Moyen : dégager des patterns sur la base de statistiques historiques
Enjeux : affiner la politique d’acquisition de leads sur internet ainsi que la politique d’attribution des leads aux commerciaux
Performance du Front Office
Objectif : catégoriser les commerciaux en fonction de critères avancés
Moyen : dégager des patterns sur la base de statistiques historiques
Enjeux : affiner la politique d’attribution des leads aux commerciaux
Accompagnement de l’IT
Mise en place d’outils de systématisation de ces analyses
Mise en place d’outils d’analyse en temps réel des caractéristiques des prospects, dans la cadre de la relation du groupe avec ses fournisseurs (plateformes, affiliés).
Votre profil :
Vous êtes curieux et rigoureux, vous souhaitez un environnement dynamique et de l’autonomie, et vous maitrisez les outils et langages ci-dessous :
MySQL
PHP
Symfony serait un plus
Alors n’hésitez plus, envoyez-nous votre CV et rejoignez-nous !
Type d'emploi : Stage",7 j,data_analyst
DATA ANALYST F/H,Cdiscount,- Bordeaux (33),,CDI,"Et venez booster notre trafic et nous aider à connaitre, attirer et fidéliser nos 16 millions de clients
Les missions qui vous seront confiées
Vous rejoindrez la direction Data dont la mission est d'appuyer l'ensemble des métiers de l'entreprise afin optimiser leurs actions en tirant le meilleur parti des données qui sont à leur disposition. Au plus près des besoins métiers et en étroite collaboration avec les datascientists, vous contribuerez activement à la vie de l'entreprise et serez force de proposition pour identifier les sujets sur lesquels l'exploitation de la data est susceptible de lever des gains de productivité.
Plus précisément vos missions seront de :
Réaliser des analyses statistiques et exploratoires
Construire des dashboards de suivi des performances permettant la prise de décision efficace pour le business
Participer à la définition, à la mise en place et à l'analyse des tests A/B menés sur votre domaine d'intervention
Mener des études approfondies afin de mieux connaître nos clients, notre offre, … (en fonction de votre périmètre) et en proposer des modèles.
Les data analysts éclairent par leurs analyses quantitatives les décisions de l'entreprise. Ils sont sollicités sur des questions impactantes pour l'activité, par exemple : Quels sont les facteurs explicatifs du réachat ? Quel est l'impact de la qualité d'une fiche produit sur la conversion ? Quelle est l'influence de la météo sur la fréquentation du site ?
En rejoignant la direction data vous aurez la possibilité d'intervenir sur toute la variété des métiers proposés par un e-commerçant : marketing client, trafic, recouvrement, offre, merchandising, marketplace
Profil recherché
Issu(e) d'une école d'ingénieur ou équivalent en statistiques ou mathématiques appliquées, vous êtes débutant ou bénéficiez d'une expérience de quelques années dans le domaine de l'analyse de données, idéalement dans le secteur internet.
Vous avez des compétences avancées en statistiques, maîtrisez les bases de données de type SQL et les langages de programmation (de préférence Python ou R).
Vous avez de bonnes capacités de communication et vous savez travailler en équipe.

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Informations complémentaires:
Type de mobilité: Mobilité définitive
Localisation: Bordeaux (33)
Référence: 4154",30+ j,data_analyst
MÉDIA TRADER & DATA ANALYST,ADTHINK,- Lyon (69),,"Temps plein, CDI","Adthink accompagne les annonceurs dans l’acquisition de clients en ligne via une gamme complète de 5 solutions de publicité à la performance : Display Network, Trading Desk, Data Activation, Customer Acquisition et Affiliate Network.
Expert en monétisation d’audiences, Adthink propose aux éditeurs des solutions pour accroître leurs revenus publicitaires.
Créé en 2001, Adthink (ALADM) est coté à la Bourse de Paris (Euronext) et fait partie du TOP 100 Digital (classement PwC - TECH IN France 2018).
Nous avons la chance de travailler sur un média passionnant, en perpétuelle évolution. Face aux challenges que nous relevons chaque jour, nous nous appuyons sur une équipe talentueuse et curieuse et sur les connaissances que nous avons développées depuis 2001.
Notre siège social est situé à Lyon, avec une présence à Paris, Genève, Lisbonne et Palo Alto.
Description du poste
Afin de compléter notre trading desk, nous recherchons un(e) Media Trader et Data Analyst.
Au sein de l’équipe de Trading Desk, vous assurez la gestion et l'optimisation de campagnes de publicité, dans une logique de performance.
Vous travaillez sur un outil technologique propriétaire et des DSP externes, et prenez notamment en charge :
la création des campagnes publicitaires digitales RTB de nos clients sur les différentes plateformes d’externalisation d’audience : montage, mise en ligne, paramétrage, tracking, etc,
la définition de la meilleure stratégie de ciblage de la campagne,
l'analyse des résultats en temps réel et leur optimisation (en fonction des objectifs des annonceurs),
l’activation d’une stratégie multicanale Display et Data afin d'accroître le ROI de vos campagnes pour atteindre les objectifs de vos clients.
Vous assurez, par ailleurs, l'interface avec les interlocuteurs internes (commerciaux) et / ou externes (clients annonceurs / agences).
De formation supérieure, idéalement en marketing ou école de commerce, vous disposez d'une première expérience dans un poste similaire au sein d’une agence de publicité online ou chez un annonceur.
Avant tout vous êtes doté(e) d'un sens aigu de l'analyse des chiffres.
Vous êtes à l'aise avec l'outil informatique (tableurs Excel, internet), et les statistiques.
Vous êtes également autonome, rigoureux (se) et appréciez le travail en équipe.
La maîtrise des outils et une connaissance des Top DSP seraient appréciés.
Vous parlez couramment le Français et maîtrisez l’Anglais.
Le digital est pour vous une vraie passion, et vous souhaitez évoluer dans une structure entièrement consacrée aux activités liées.
Modalités
Poste à pourvoir en CDI dès que possible à Tassin la Demi-Lune (Lyon Ouest).
Salaire à établir en fonction du profil.
Tickets restaurant, mutuelle et prise en charge de vos frais de transport.
Si ce challenge vous donne envie, n’hésitez pas à nous envoyer votre CV et LM à l’attention de Sophie Marois, chargée de missions Ressources Humaines.
Retrouvez toutes nos offres sur www.adthink.com.
Type d'emploi : Temps plein, CDI
Expérience:
Statistiques/Analyse des chiffres: 1 an (Souhaité)
Digital: 1 an (Souhaité)
Régie Publicitaire: 1 an (Souhaité)
Média Trader: 1 an (Souhaité)
Formation:
Bac +5 (Master / MBA) (Souhaité)",28 j,data_analyst
PRODUCT DATA ANALYST - BI - H/F,Cegid,- Paris (75),,CDI,"Doté(e) d'au moins 3 ans dans le développement d'application d'analyse de données, vous êtes capable de construire et présenter oralement et par écrit une fonctionnalité et une réponse à un besoin métier et vous comprenez le processus de développement de logiciels et de lancement de nouvelles offres.
Vous êtes également capable de comprendre les problématiques des équipes, de les intégrer et de les reformuler afin de les adresser.
De plus, vous maîtrisez Qlik ; les technologies Web 2.0 ; SAP BO ; Power BI.
Enfin, vous avez idéalement été formateur ou bien avez contribué à des formations.

Au sein de l’équipe de Product Management Transverse, le Product Data Analyst aura la responsabilité de concevoir les applications d’analyses de données répondant aux besoins des métiers et de superviser et de garantir la conformité de leur mise en œuvre.
Ces initiatives sont :
Sur la base des éléments de roadmap fournis par les Product Managers, concevoir des applications d’analyses de données basées sur des besoins métiers
Fournir aux développeurs les éléments nécessaires pour la mise en œuvre globale des solutions
Valider la conformité des développements réalisés aux attentes exprimées
Les activités principales qui en découlent sont :
Etudier les uses cases et les données métiers
Rédiger les Users Stories qui exprimeront ce qui est attendu des produits
Concevoir les modèles de données dédiés à l’analyse
Coordonner les développements entre les différentes équipes de développement métiers et BI pour assurer le rendu final
Assister les développeurs dans la compréhension des users stories, spécifications et scénarios/plans/cas de tests
Rédiger les scénarios/plans/cas de tests qui permettront de vérifier le bon fonctionnement du produit et la conformité aux attentes exprimées
Contribuer à l'exécution des scénarios/plans/cas de tests et au final valider ou non les fonctionnalités développées
Fournir les éléments permettant de construire la documentation et les release notes et être garant de la validité de cellesci
Par ailleurs, vous pouvez être amené(e) à mener des activités complémentaires :
Participer à la priorisation du backlog et à la définition du contenu des sprints
Animer en interne la communication sur les nouvelles livraisons (équipes support / avantventes / Consultants)
Accompagner le Product Manager / Domain Owner dans le suivi du lancement des nouvelles offres
Acteur leader de la transformation digitale des entreprises et du secteur public, Cegid améliore la performance de ses clients grâce à ses logiciels de gestion et services cloud.
Le groupe Cegid propose des solutions dans les domaines de la gestion financière, de la fiscalité et des ressources humaines, ainsi que des applications métiers destinées aux secteurs du retail, de l’industrie, du négoce, des services, de la profession comptable et du secteur public.
Portées par une politique d’innovation ambitieuse, les offres Cegid intègrent les nouveaux usages autour du cloud, de la mobilité, de l’analyse de données, de la dématérialisation, et des plateformes métiers collaboratives.
Groupe international de 2 500 collaborateurs répartis sur toute la France et dans 15 pays, Cegid compte plus de 120 000 clients et 430 000 utilisateurs, dont 150 000 en mode SaaS, et a réalisé un chiffre d’affaires de 332M€ en 2017.",30+ j,data_analyst
DATA ENGINEER (H/F) - NANTES,Maisons du Monde,- Vertou (44),,,"Le programme data du groupe Maisons du Monde a presque deux ans déjà, et se compose d’une vingtaine de personnes (data scientists, data analysts, data engineers, web analysts). Poussée par une forte ambition, l’équipe data est amenée à accueillir plusieurs nouveaux profils dans les douze prochains mois. Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain, avec une activité R&D sanctuarisée. L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !
Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) Data Engineer pour rejoindre cette belle aventure Maisons du Monde !

Vous participez activement à la vie de l’équipe. Vous aiderez les Data Scientists à structurer la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale, et garantissez un niveau de qualité certain.

Vos missions :
Vous êtes impliqué(e) dans l’engagement de l’équipe au quotidien et faites tout pour l’aider pour délivrer des fonctionnalités en continue ;
Vous travaillez en étroite relation avec notre Lead Data scientist pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ;
Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data ;
Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos.

Votre environnement technique :
Google Cloud Platform, Oracle, Postgres,
Big Query, SQL-like, Dataflow, Dataproc,
Python/Spark,
ML & DL, Tensorflow,
Qlik Sense,
Et tout autre outil que vous jugerez pertinent !

Poste basé à Vertou (Nantes)
A pourvoir dès Janvier 2019

De formation supérieure en école d’ingénieur/université (niveau Bac+5 ou plus), vous possédez au minimum une première expérience professionnelle (stage/alternance acceptés) dans un programme data en lien avec les métiers marketing.

SAVOIR-FAIRE
Vous avez déjà appliqué les technologies Big Data en production sur de fortes volumétries de données. Vous maitrisez le développement en Python ;
Vous avez la capacité à maintenir la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale.

SAVOIR-ETRE
Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ;
Vous êtes curieux (se), rigoureux (se), structuré(e) ;
Vous avez hâte de proposer des améliorations, les partager et les prioriser avec vos collègues ;
A l’externe, vous participez à des évènements de l’univers Big Data (meetups, conférence, etc.).",4 m,data_analyst
PRICING ANALYST H/F,L'AgenceRP,- Bordeaux (33),,CDI,"Embarquez à bord du Commerce :
Et participez au lancement de plus de 50 opérations commerciales par an pour susciter les envies d’achats de nos clients, tout en optimisant leur résultat.

Les missions qui vous seront confiées

Rattaché(e) à la Direction Commerciale et en étroite interaction avec les Achats et le service commercial, vous participerez activement à notre croissance dans l’e-commerce. Au sein de ce poste à double facette opérationnelle et projet, vous serez en charge de :

Définir et mettre en œuvre au quotidien la stratégie de prix de plusieurs catégories de produits en étroite collaboration avec les acheteurs afin d’atteindre les objectifs de CA et de marge, en se basant sur : des analyses des données des ventes passées afin de trouver des corrélations entre les indicateurs (stock, marge, CA, trafic)
des études de marché pour optimiser le positionnement concurrentiel de nos produits
une étroite collaboration avec les équipes de Data Scientists travaillant sur l'optimisation des mécaniques de prix
Participer à la définition et la mise en oeuvre de toues les formes de promotions sur les produits, afin d'assurer une cohérence de prix et de gamme à tout moment.
Profil recherché
Profil recherché

Issu(e) d'une école d'ingénieur ou équivalent, nous recherchons un profil analytique, disposant également d'une culture commerciale indéniable (création, lecture et pilotage de KPI) mais aussi d'une sensibilité au merchandising produits sur le web.

Vous avez le goût des chiffres, vous travaillez en autonomie et souhaitez pouvoir exprimer votre sens de l'innovation. Vous êtes par ailleurs à l'aise avec les outils de gestion de données (Excel, SQL, Access...).

Grâce à votre tempérament d'entrepreneur, vous êtes capable de repousser vos limites pour faire aboutir vos idées. Force de proposition, vous recherchez une expérience enrichissante vous permettant de monter un compétences sur les différentes fonctions du e-commerce et d'être au coeur des problématiques stratégiques web !

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et partez à la conquête du web !",15 h,data_analyst
DATA ANALYST (H/F) / FREELANCE,insitoo-it,- Lyon (69),,"Temps plein, Freelance / Indépendant","Insitoo est une plateforme collaborative de proximité, spécialisée dans l’activité des Freelances IT et Métier. Nous accompagnons au quotidien les entreprises dans leurs projets de transformation informatique et fonctionnelle en proposant l’accès à de nouveaux talents indépendants. Actuellement, afin de répondre aux besoins de nos clients, nous recherchons un Data Analyst (H/F)

Dans le cadre de sa prestation, le Data Analyst (H/F) aura pour missions principales la réalisation des études de fonctionnement, l’analyse des différents dysfonctionnements et le partage de son expertise. A ce titre, il aura pour tâches de :

S’approprier le fonctionnement théorique du système à travers la documentation existante ou du rétro-ingénierie des modules du système.
Démontrer le fonctionnement réel du système à travers l’analyse des données de fonctionnement du système.
Identifier des améliorations/optimisations à valeur ajoutée (automatisation, vitesse, convergence )
Analyser avec des vues croisées la vraisemblance et la justesse des données.
Rédiger des expressions de besoins d’évolution justifiant de l’intérêt.
Partager des préconisations auprès de la communauté d’experts existante (les équipes de cadrage, de production, du matériel et d’experts) et obtenir un consensus autour des points d’améliorations à apporter.
Modéliser l’impact des évolutions/optimisations sur le système.
Valider le nouveau fonctionnement en production.
Analyser la cause du dysfonctionnement.
Identifier les problèmes de QDD et leurs impacts.
Définir et/ou réaliser la solution de contournement afin d’assurer la réalisation des processus
Identifier les points d’améliorations et porter, auprès de l’ensemble des parties, la réalisation des correctifs fin de garantir sa prise en charge.
Assurer la montée en compétences des opérationnels au travers de formation et de travaux communs.
Assurer le rôle d’expert auprès des équipes Hypervision Production et des autres acteurs du projet
Compétences techniques et fonctionnelles attendues :
Tableau software
Informatica
Jira / Confluence
Langage R
Git
Cette mission vous intéresse? N’attendez plus pour postuler !
Retrouvez le détail de la mission sur notre site internet : www.insitoo.com",4 j,data_analyst
BUSINESS ANALYST JUNIOR F/H,DTA INGENIERIE,- Nantes (44),25 000 € par an,,"Venez décrocher votre 1er CDI !

Entreprise de Services Numériques (ESN) spécialisée dans le développement informatique, nous prévoyons de recruter près de 300 collaborateurs en 2019 et recherchons des Business analysts juniors (H/F) pour répondre aux besoins de nos clients à Nantes, Rennes, Paris, Lille, Lyon et Bordeaux.

Sous la responsabilité d’un chef de projet, vous interviendrez sur des projets d’envergure pour des grands comptes du secteur IT où vous serez amené à réaliser les tâches suivantes :

Comprendre et recueillir les besoins auprès des métiers

Formaliser les processus de production et l'analyse des impacts

Rédiger les spécifications fonctionnelles

Coordonner les différents acteurs sur le sujet

Suivre l’avancement projet

Participer à l’élaboration de la stratégie de tests

Rédiger et exécuter les scénarii de tests

Gérer le suivi des anomalies

Nous prenons à cœur l’intégration et le déploiement de nos recrues, car ce n’est pas seulement du code, mais également nos Talents que l’on développe !

Nos postes en CDI (statut cadre) sont précédés d'une spécialisation en adéquation avec le poste pour que vous soyez pleinement opérationnel dans la mission qui vous sera confiée. Vous maitriserez les fondamentaux (SI, architectures logicielles, BDD, etc), le design de produit (Scribing, UX/UI) et la conception fonctionnelle avec UML. Vous passerez la certification Professional Scrum Product Owner et apprendrez également les méthodes liées à la conduite de projets (Agile / Scrum).

Votre implication et votre sens des initiatives vous permettront d’évoluer au sein du projet et au sein de la société.

Tickets Resto + Mutuelle + Prévoyance.
Profil recherché BAC+5 mini, école d’ingénieur, université informatique, scientifique ou appliquée à un secteur d’activité : banque, assurance, finance, etc.

Aimer le café et les Haribo et avoir envie de se surpasser pour un projet.

Si vous êtes motivé à entrer dans un secteur riche en perspectives d’évolution : rejoignez-nous ! Nous accueillons volontiers des personnes avec des expériences différentes.
Entreprise DTA Ingénierie est une société de service spécialisée dans le développement informatique autour des nouvelles technologies qui a suivi une forte croissance depuis 2014. Nous accompagnons les grands comptes du secteur IT dans leur croissance grâce à nos Talents spécialisés sur les technologies les plus recherchées du marché : JAVA EE, Business Intelligence, .NET, PHP/Drupal, Android/iOS et Big Data. Vous êtes un ingénieur récemment diplômé en informatique, et à la recherche d'une première expérience professionnelle, contactez-nous !",19 j,data_analyst
DÉVELOPPEUR SUR UN CENTRE DE SERVICE DIGITAL - LYON H/F,Viveris,- Lyon (69),,"Temps plein, Freelance / Indépendant, CDI","L'entreprise : Viveris (800 consultants, 10 agences et 4 centres de développements) est un groupe d’ingénierie digitale et de conseil. Depuis 30 ans, nous accompagnons nos clients sur des projets innovants : Web responsive, Mobilité, Data, IoT, Sécurité.
Viveris à Lyon, c’est 200 consultants, un centre de développement digital et des valeurs partagées au quotidien : esprit d’équipe, curiosité, excellence.
Rejoignez-nous !
Le poste : Vous intégrez notre centre de service Lyonnais et réalisez divers projets tels que :
un projet mobile cross-platform pour le monde de la mutuelle,
un projet d’application Web en Java 8, Angular 6 servant à la maintenance Industrielle,
ou encore la création de sites web et de plateformes intranet pour des équipes métier chez nos clients.
Dans le cadre de ces projets vos missions seront :
Conception et spécification du projet en lien avec les analystes MOA et/ou client
Participation à l’architecture technique
Développement des différentes couches techniques back-end et front-end
Participation aux REX, restitutions et à la R&D
Partage des bonnes pratiques et participation à l’usine logiciel
Le profil recherché : Diplômé(e) d’une formation supérieur en informatique ou scientifique, vous avez un attrait pour le développement.
Idéalement, vous avez déjà manié les technologies Java et/ou Microsoft et participé au cycle de vie d’un projet en équipe.
Vous aimez travailler en mode agile, et n’hésitez pas à aller voir les différentes équipes métiers et techniques pour comprendre l’usage final de ce que vous développez.
N’hésitez pas et rejoignez un employeur capable de vous faire confiance et de vous accompagner dans votre carrière !
Type d'emploi : Temps plein, Freelance / Indépendant, CDI",11 j,data_analyst
